Title,Link,Media,Date,Vader
Blockchain and Medicine: Aimedis Launches First Medicine NFT,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/blockchain-and-medicine-aimedis-launches-first-medicine-nft-2662728,DailyCoin,"Nov 02, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Binance Lists SHIB / DOGE as Trading Pairs, Is It a Win For Memecoins?",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/binance-lists-shib--doge-as-trading-pairs-is-it-a-win-for-memecoins-2662727,CoinQuora,"Nov 02, 2021","{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}"
Tripple IGO NFT Collection Drops on Binance NFT on November 4,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/tripple-igo-nft-collection-drops-on-binance-nft-on-november-4-2662726,CoinQuora,"Nov 02, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"BTC price ‘ready to rally,’ with Bitcoin bulls clear to charge at $85K — Analysis",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/btc-price-ready-to-rally-with-bitcoin-bulls-clear-to-charge-at-85k--analysis-2662718,Cointelegraph,"Nov 02, 2021","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}"
NYDIG acquires Bitcoin micropayments firm Bottlepay ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/nydig-acquires-bitcoin-micropayments-firm-bottlepay-2662699,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6 Questions for Yoni Assia of eToro,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/6-questions-for-yoni-assia-of-etoro-2662670,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAX Reveals Speakers at the Upcoming Hong Kong Fintech Week 2021,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/aax-reveals-speakers-at-the-upcoming-hong-kong-fintech-week-2021-2662636,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Liverpool City Region Elevates Local Economy With Peepl,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/liverpool-city-region-elevates-local-economy-with-peepl-2662635,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Squid Game cryptocurrency likely scam, Twitter accounts temporarily restricted",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/squid-game-cryptocurrency-likely-scam-twitter-accounts-temporarily-restricted-2662646,Investing.com,"Nov 01, 2021","{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.743}"
Huobi trials NFT marketplace to further GameFi and metaverse strategy,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/huobi-trials-nft-marketplace-to-further-gamefi-and-metaverse-strategy-2662630,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Twitter flags Squid Game token accounts as price crashes,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/twitter-flags-squid-game-token-accounts-as-price-crashes-2662609,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Bitcoin trades higher, Shiba Inu outperforms",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/bitcoin-trades-higher-shiba-inu-outperforms-2662595,Investing.com,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Automata Network Launches Mainnet and $20M Ecosystem Incentive Program,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/automata-network-launches-mainnet-and-20m-ecosystem-incentive-program-2662545,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
Dallas Mavericks fan wins $100K in Bitcoin at NBA shootout event,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/dallas-mavericks-fan-wins-100k-in-bitcoin-at-nba-shootout-event-2662541,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.7184}"
Americans reinvesting stimulus checks in Bitcoin made $4.5k in profit,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/americans-reinvesting-stimulus-checks-in-bitcoin-made-45k-in-profit-2662501,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
Investors Rug-pulled After Pouring $57m Into Dog-themed OlympusDAO Fork,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/investors-rugpulled-after-pouring-57m-into-dogthemed-olympusdao-fork-2662476,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bitcoin price descending channel and loss of momentum could turn $60K to resistance ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/bitcoin-price-descending-channel-and-loss-of-momentum-could-turn-60k-to-resistance-2662394,Cointelegraph,"Nov 01, 2021","{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}"
Velas Launches Its First DEX — 40 More Projects on the Pipeline,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/velas-launches-its-first-dex--40-more-projects-on-the-pipeline-2662379,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Puppy Planet Set to Launch Play-to-Earn Game Soon, Begin PUP Token Sale",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/puppy-planet-set-to-launch-playtoearn-game-soon-begin-pup-token-sale-2662334,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Shiba Inu now accepted as payment at a French bistro in Paris,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/shiba-inu-now-accepted-as-payment-at-a-french-bistro-in-paris-2662309,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}"
Is It Too Late to Buy Bitcoin?,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/is-it-too-late-to-buy-bitcoin-2662296,DailyCoin,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Satoshi Nakamoto’s Bitcoin white paper is now a 13-year-old teenager,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/satoshi-nakamotos-bitcoin-white-paper-is-now-a-13yearold-teenager-2662279,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Idowall starts off with Seed-Sales, aims to maximize the benefits for earlier joiners.",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/idowall-starts-off-with-seedsales-aims-to-maximize-the-benefits-for-earlier-joiners-2662247,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
"XRP Transactions Reach New Heights In Q3, ODL Sales Show Sharp Climb",https://invst.ly/wh3mn,CryptoDaily,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0258}"
Latinx communities continue to rise above Bitcoin adoption obstacles,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/latinx-communities-continue-to-rise-above-bitcoin-adoption-obstacles-2662225,Cointelegraph,"Nov 01, 2021","{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}"
'Uptober' closes at record high in best month of 2021 — 5 things to watch in Bitcoin this week,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/uptober-closes-at-record-high-in-best-month-of-2021---5-things-to-watch-in-bitcoin-this-week-2662193,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}"
TRON Launches Cross-Chain Scaling Solution BitTorrent Chain,https://invst.ly/wh2o8,CryptoDaily,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}"
The MetaVerse: Brave New World or Capitalist Hellscape?,https://invst.ly/wh2oc,ETF Trends,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}"
Crypto Analyst Says the Internet Might Break if Robinhood Lists SHIB,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/crypto-analyst-says-the-internet-might-break-if-robinhood-lists-shib-2662171,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bitcoin White Paper Turned 13 Years Old: Here Is The Journey So Far,https://invst.ly/wh1s-,CryptoVibes,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Polka City- A Virtual City for Investors to Play 3D Game and Earn Through NFTs,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/polka-city-a-virtual-city-for-investors-to-play-3d-game-and-earn-through-nfts-2662150,CoinQuora,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}"
Investors rug-pulled after pouring $57M into dog-themed OlympusDAO fork,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/investors-rugpulled-after-pouring-57m-into-dogthemed-olympusdao-fork-2662135,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Mike Cagney on The Blockchain Interviews with Dan Weiskopf,https://invst.ly/wh0ug,ETF Trends,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Industrial Bitcoin mining breathes new life into tiny Texan town,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/industrial-bitcoin-mining-breathes-new-life-into-tiny-texan-town-2662124,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Coins That Came Back From the Dead,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/coins-that-came-back-from-the-dead-2662112,DailyCoin,"Nov 01, 2021","{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}"
Aavegotchi gains 50% as ‘Gotchiverse’ auctions set a path to the Metaverse,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/aavegotchi-gains-50-as-gotchiverse-auctions-set-a-path-to-the-metaverse-2662060,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}"
"Altcoin Roundup: Dogecoin, Shiba Inu and memes are hauling the dogsled to mass adoption",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/altcoin-roundup-dogecoin-shiba-inu-and-memes-are-hauling-the-dogsled-to-mass-adoption-2662043,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
US Senator Hagerty to CFPB Director: Don’t Stifle Crypto Innovation ,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/us-senator-hagerty-to-cfpb-director-dont-stifle-crypto-innovation-2662037,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}"
DeFi protocol Aave encounters major capital flight ,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/defi-protocol-aave-encounters-major-capital-flight-2662035,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Blockchain technology can make micropayments finally functional,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/blockchain-technology-can-make-micropayments-finally-functional-2662031,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AMC Theatres CEO considers adding Shiba Inu as payment for ticket purchases ,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/amc-theatres-ceo-considers-adding-shiba-inu-as-payment-for-ticket-purchases-2662025,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
