Title,,Vader,Link,Media,Date
Blockchain and Medicine: Aimedis Launches First Medicine NFT,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/blockchain-and-medicine-aimedis-launches-first-medicine-nft-2662728,DailyCoin,2.Nov.21
"Binance Lists SHIB / DOGE as Trading Pairs, Is It a Win For Memecoins?",,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/binance-lists-shib--doge-as-trading-pairs-is-it-a-win-for-memecoins-2662727,CoinQuora,2.Nov.21
Tripple IGO NFT Collection Drops on Binance NFT on November 4,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/tripple-igo-nft-collection-drops-on-binance-nft-on-november-4-2662726,CoinQuora,2.Nov.21
"BTC price _eady to rally, with Bitcoin bulls clear to charge at $85K  Analysis",,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/btc-price-ready-to-rally-with-bitcoin-bulls-clear-to-charge-at-85k--analysis-2662718,Cointelegraph,2.Nov.21
NYDIG acquires Bitcoin micropayments firm Bottlepay ,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/nydig-acquires-bitcoin-micropayments-firm-bottlepay-2662699,Cointelegraph,1.Nov.21
6 Questions for Yoni Assia of eToro,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/6-questions-for-yoni-assia-of-etoro-2662670,Cointelegraph,1.Nov.21
AAX Reveals Speakers at the Upcoming Hong Kong Fintech Week 2021,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/aax-reveals-speakers-at-the-upcoming-hong-kong-fintech-week-2021-2662636,CoinQuora,1.Nov.21
Liverpool City Region Elevates Local Economy With Peepl,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/liverpool-city-region-elevates-local-economy-with-peepl-2662635,CoinQuora,1.Nov.21
"Squid Game cryptocurrency likely scam, Twitter accounts temporarily restricted",,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.743}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/squid-game-cryptocurrency-likely-scam-twitter-accounts-temporarily-restricted-2662646,Investing.com,1.Nov.21
Huobi trials NFT marketplace to further GameFi and metaverse strategy,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/huobi-trials-nft-marketplace-to-further-gamefi-and-metaverse-strategy-2662630,Cointelegraph,1.Nov.21
